text,label
《 关于 川普 贸易战 的 最新 评估 与 对 A股 市场 的 驱动 影响 》 川普 关于 2000 亿 中国 商品 的 加税 问题 ， 在 公众 咨询 期后 ， 没有 落地 ， 令 全球 投资者 ， 特别 是 中国 坑军 （ 注 ： 此前 高位 套牢 、 现在 杀跌 等 坑 的 群体 ） 很感 意外 ， 包括 去年 抱团 取暖 炒 白马股 的 结构 ， 现在 都 抱团 炸板 ， 慌不择路 ！ 市场 的 波段 趋势 是 有 驱动 的 。 波浪理论 是 一个 很 好 的 测市 系统 ， 但 必须 充分 预估 、 准确 评估 核心 驱动 ， 才能 正确 推演 走势 结构 、 形态 与 层级 ， 更好 地 解释 现状 ， 预期 未来 。 一位 自称 波浪理论 达人 的 网友 说 : “ 去年 （ 东方 ） 就 预测 这 一波会 到 2638 ， 那 时候 没有 考虑 中 美 贸易 的 因素 ， 现在 有 因素 却 不 考虑 ” 。 这个 观点 其实 还是 误解 波浪理论 的 运用 。 从 中长期 结构 看 ， 今年 运行 到 2638 至 2445 区间 的 波段 底 （ 正确 假设 是 C3 - a 波段 ） ， 必然 有 一个 核心 驱动 ， 只不过 当时 不 知道 是 啥 。 今年 3 月 以后 就 “ 知道 ” 他 是 川普 贸易战 ！ 当时 ， 国内 专家 预期 ， 不会 打 起来 ， 中 美 夫妻 论 盛行 ， 所以 机构 在 做 3000 点 价值 底 、 大底 。 但 东方 分析 评估 川普 一定 会 打 ， 因此 2638 区域 并肩 。 事实证明 这种 预期 驱动 是 正确 的 ， 波浪理论 预测 是 可靠 的 。 川普 贸易战 的 终极 目的 不是 真的 关上 大门 ， 这 不 符合 美国 的 自由 市场经济 宗旨 ， 美国 的 优势 就是 自由 经济 制度 ， 川普 要开 历史 倒车 ， 必然 遭到 多数 人 的 反对 、 推翻 。 那么 川普 目的 是 啥 呢 ？ 、 是 逼 中国 完全 放开 大门 ， 而且 毁掉 国有经济 ， 这样 ， 美国 的 自由竞争 实力 与 经验 就 会 占领 中国 市场 ， 继续 称霸全球 ！ 对抗 非常 有 市场经济 经验 的 美国 自由 经济 ， 实际上 只有 国家 资本主义 才能 做到 。 东方 个人 的 想法 是 ， 我们 先 利用 中国 特有 的 机制 对抗 美国 自由 经济 ， 等 我们 更 成熟 、 更 有 经验 与 实力 ， 或者 将 美国 对抗 搞垮 后 ， 再 “ 自由 经济 ” 也 不 迟 ！ 大国 的 修 昔理德 陷阱 博弈 很 复杂 ， 也 残酷 ， 必须 寻找 博弈 取胜 的 立足点 。 历史 是 一种 选择 ， 智者 才能 屹立 。 因此 ， 川普 要 的 ， 中国 不能 给 ， 这 就是 东方 一直 主张 不能 认 怂 的 核心 原因 。 川普 恐吓 不成 只能 采取 缓兵之计 川普 加税 贸易战 实际上 是 剑 走 偏锋 ， 真正 打 起来 ， 对 美国 更为 不利 。 就 像 东方 说 的 ， 中国 制裁 美国 大豆 ， 实际上 自己 受害 。 便宜 了 南美 ， 中 美 两败俱伤 。 美国 制裁 中国 商品 ， 但 美国 需要 进口 ， 只能 少量 自 产 。 中国 可以 出口 其他 国家 ， 贴个 他国 标签 卖 给 美国 。 中国 原价 出口 ， 中间 国家 加价 费用 与 盈利 卖 给 美国 消费 ， 因此 沙盘推演 ， 川普 加税 是 给 自己 的 民众 加税 ， 对 中国 有 影响 ， 但 不大 ， 就 像 美豆 市场 ， 会 照样 按 趋势 运行 ， 但 中国 从 南美 进口 ， 需要 花 更 多 的 钱 。 美豆 可以 卖 给 其他 国家 ， 因为 是 全球 供求关系 。 所以 ， 川普 加税 ， 必然 令 美国 自己 的 民众 水深火热 ， 不仅 自己 总统 选票 问题 ， 就 连 共和党 也 得 下台 ， 因此 川普 政策 不会 长久 ， 世界 还 得 偏爱 中国 。 川普 敢 现在 就 大 范围 加税 ， 而且 对 中国 严重 打击 ， 就 必须 对 全球 加税 ， 那样 ， 美国 就是 全球 的 敌人 。 仅 对 中国 加税 ， 几乎 没有 用 。 因此 ， 川普 恐吓 不 成就 要 继续 谈判 ， 这是 必然 的 选择 。 如果说 ， 东方 早就 推演 了 这步 棋局 ， 大量 坑军 肯定 不 信 。 但 东方 早就 说 ， 金秋 会 有 一个 “ 惊喜 ” ， 其实 就 有 中国 研判 的 依据 。 川普 贸易战 暂时 推动 美中及 全球 今年 的 经济 说 这个 推断 是 有 现实 数据 ， 以及 未来 数据 支撑 的 。 当然 更 有 逻辑 支撑 ！ 有人 说 ， 贸易战 打压 经济 ， 不错 ， 那 是 真 大面积 加税 的 结果 与 预期 。 但是 事物 都 有 局部 反 逻辑 ， 或者 反作用 。 那 就是 为了 规避 加税 贸易战 ， 在 措施 正式 实施 前 ， 各方 都 会 加急 进出口 与 生产 ， 因此 中 美 贸易 及 经济 数据 反而 非常 好 。 如果 川普 把 加税 推迟 到 中期 选举 后 ， 12 月 中旬 后 ， 那么 下半年 的 中美 经济 将 很 火爆 。 想来 ， 川普 团队 看到 了 这个 无心插柳柳成荫 的 现象 ， 为了 中期 选举 对 自己 有利 ， 川普 会 决定 将错就错 ， 那么 市场 会 发生 神马 情况 ？ 如果 川普 现在 就 加税 ， 中国 主权 资金 会 带动 全球 资金 砸 美股 ， 美股 会 断崖 ， 川普 伪 政绩 将 露馅 ， 共和党 中期 选举 败 ， 川普 被 弹劾 … … 后果 不堪设想 ！ 所以 东方 第一 时间 就 断定 ： 川普 不敢 赌 ！ 近期 A股 下跌 是 贸易战 加码 预期 的 推动 ， 现在 这个 预期 缓解 ， 未来 也 不 一定 真 加码 ！ 现在 做 坑军 ， 你 的 命运 有 非常 悲壮 结局 之 可能 。 短期 踏空 、 杀跌 风险 ， 必须 回避 。 趋势 是 玩 预期 的 ， 你 的 波段 驱动 预期 错误 ， 只能 是 输家 ！,1
中国 股市 就是 中 美 贸易 大战 中 的 影子 ， 特朗普 认为 把 中国 股市 打垮 ， 就是 美国 贸易 制裁 取得成效 的 最大 标志 。 但是 对 利害 国 来说 ， 这点 牺牲 根本 不算什么 ， 作为 经济 载体 影子 的 故事 ， 虽然 表面 上 看起来 很 重要 ， 其实 上 除了 圈钱 毫无作用 。 所以 特朗普 认为 中国 股市 下跌 ， 贸易战 取得成效 ， 那 是 中 了 我 厉害 过 的 诱饵 缓兵之计 。 如果 特朗普 认为 股市 下跌 ， 取得 很大 成效 。 那么 放任 股市 下跌 ， 其实 上 就 可以 起到 迷惑 特朗普 的 作用 。 否则 的话 ， 他 可能 又 会 搞 一些 别的 妖 蛾子 来整 你 。 如果 他 一 脑门 看着 股市 下跌 就 很 开心 ， 那 恰恰 是 中计 了 。 因为 这是 中国 经济 中 最 不 重要 的 部分 ， 完全 可以 全部 放弃 和 牺牲 掉 。 以 换取 敌人 的 骄傲自满 和 争取 我们 的 腾挪 时间 。 所以 只要 特朗普 开心 跌到 500 点 ， 一点 问题 都 没有 。 所以 大家 要 做好 不惜一切 代价 牺牲 掉 的 准备 。 否则 特朗普 拿 房市 开刀 ， 那才 会动 了 我 厉害 的 命根子 。 大家 要 有 牺牲 精神 ， 不要 为了 照顾 一点 蝇头小利 在 那里 唧唧 歪歪 ， 要 识大体 ， 顾大局 。,1
中 美 贸易战 持续 了 五个 多月 了 ， 回顾 其中 多个 回合 ， 愈加 迷惑 ： 美国 为何 要 处处 针对 中国 屡 增收 关税 ？ 一 开始 美国 只是 针对 中兴公司 ， 为何 演变成 对 中国 的 整体 贸易战 ？ 特朗普 看 中国 不爽 为何 不 从 上台 伊始 就 谋划 制裁 呢 ？ 调查 和 制裁 中兴 是 历史 事件 中 所谓 的 导火线 ？ 中兴公司 是 国企 ， 美国 对 其超 大额 罚款 是 全国 纳税人 的 钱 吧 ？ 公司 负责人 应 被 追责 吧 ？ 总之 ， 美国 现在 为什么 总是 处处 针对 中国 ？ 为什么 ？ 中国 究竟 怎么 惹 到 美国 了 ？,0
说 说 这事 背后 大 环境 ， 瑞典 九月份 大选 ， 炒作 桂成海 事件 ， 最近 大 和尚 又 跑 去 了 。 瑞典 自称 人权 护士 ， 喜欢 指责 别人 ， 指手画脚 ， 的确 很烦 。 瑞典 其实 不 那么 安全 ， 中国 游客 被 抢 被盗 ， 中国大使馆 介入 根本 没有 回应 。 这次 大使馆 问询 警方 ， 对方 竟然 不理不睬 ， 到 现在 已经 十几天 ， 直到 这事 捅 到 媒体 ， 我 看 最好 对 瑞典 禁游 。,1
张艺兴 Ins 取关 exo 队长 能 不能 别 再 艹 团魂 人设 了 ？ 强行 刷 存在 感 吗 我 的 小 哥哥 做错 啥 了 被 你 的 唯粉 一遍 遍轮 你 特 么 是 吸血鬼 吧 揪 着 一查 欧 的 海外 人气 不 放在 中国 艹 爱国 人设 ？ 别去 什么 格莱美 了 奥斯卡 更 欢迎 你,1
作为 近百年来 技术落后 的 新兴国家 ， 由于 理念 不同 造成 中国 企业 每 一步 前行 都 是 一代 又 一代人 的 努力 ， 付出 巨大 代价 换来 的 。 50 年代 的 科学家 漫长 归国 路 ， 巴统 、 瓦森纳 ， 到 今天 5 Ｇ 时代 的 缠斗 。 有 一件 事 可以 肯定 ， 未来 的 路 仍然 不会 是 坦途 ， 走上 去 还是 坐在 旁边 敲 键盘 摘 果子 ， 这是 一个 问题 。 O 夜航 灯塔 ： 温哥华 庭审 背后 的 较量,0
2019 年 我 向 总理 说句话 中国 还有 希望 吗 ？ 广州 还有 法理 吗 ？ 现在 还 打黑 吗 ？ 请 关注 许静 事件 好 吗 ？ 2 广州 · 南村镇,1
1956 年 ， 就 开始 谈 “ 有错必纠 “ ， 但 随后 就是 “ 反右 ” 、 “ 反 右倾 ” 、 “ 四清 ” 、 “ 文革 ” ， 运动 浪潮 一波 压倒 一波 ， “ 有错必纠 ” 的 实践 推迟 了 二十二年 ， 变成 在 “ 运动 后期 ” 集中 平反 积攒 积了 几十年 的 “ 冤案 、 错案 、 假案 ” 。 “ 运动 后期 处理 ” ， 受害人 在 几十年 的 等待 中 血泪 澘 流 ， 许多 人 临终 之前 都 没有 看到 平反昭雪 。 如今 ， 听到 “ 将要 平反 一批 私营 企业家 冤案 ” ， 深感 思想 不变 、 运动 不止 的 惯性 无比 强大 。 在 法治 之下 ， 纠错 、 平反 冤案 应当 是 一分钟 也 不能 等待 — — 刑事案件 定 讞 之后 ， 一旦 发现 无罪 证据 ， 就 应当 允许 当事人 申请 人身保护 令 ， 启动 案件 复查 ， 而 不是 等 着 有人 派发 定心丸 。,0
彭博 ： 据 知情 人士 透露 ， 尽管 与 中国 的 新一轮 贸易谈判 正在 重启 ， 特朗普 在 周四 仍然 指示 助手 继续 对 中国 产品 征收 约 2000 亿美元 的 关税 ， 由于 政府 考虑 根据 公众 意见 中 提出 的 担忧 进行 修订 ， 新一轮 关税 的 宣布 或 被 推迟 。,1
广州 坠亡案 尸体 无 打击 伤 许静 2019 我 向 总理 说句话 警方 通报 十三行 坠楼 事件 这个 社会 没法 相信 了 ！ ！ ！ ！ 人民 群众 的 生命 就是 儿戏 一样 的 摆在 黑暗 权势 下 被 看笑话 ！ ！ ！ ！ 什么 人民 的 公仆 ！ 什么 为 人民 服务 ！ ！ ！ 错 ！ ！ 你们 是 恶魔 ， 人民 群众 只是 个 傀儡 ， 你们 想 对外 想 怎么 宣称 和谐 太平 ！ ！ ！ 民主 富强 ！ ！ ！ 实则 都 是 在 粉饰太平 ！ ！ ！ 穷 永远 吃不上 你们 一块 民主 蛋糕 ！ ！ 都 是 在 操纵 我们 平民 老百姓 ！ ！ ！ 万恶 ！ ！ ！,1
挺服 中国 教育 的 。 说 要 重视 思想品德 ， 弄本 密密麻麻 套话 文字 书 ， 你 背 吧 ， 考试 要 闭卷 考 的 ， 你 的 内心 ？ 谁 关心 ？ 阅卷 老师 不 听 ； 说 要 发展 乐器 ， 中考 加 了 葫芦丝 ， 弄 得 孩子 大 早晨 五点 半 开始 吹 吹 吹 ； 说 要 读 名著 ， （ 比如 西游记 ） 布置 下来 每天 读 哪本 的 哪些 ， 还 挺 好 ， 结果 再 给 你 来 一句 ： 哪章 到 哪章 各写 一篇 读后感 。 我 读后感 你 个 锤子 ？ 我 有 什么 感悟 ？ 说实话 有些 名著 能 给 人 的 启发 … 真的 很 勉强 全面 发展 是 这么 发展 的 吗 你 告诉 我 ， 你 还 不如 全心全意 当 个 书呆子 ， 别搞 这些 花里胡哨 依旧 枯燥 的 东西 ， 我 就 闭嘴 了 。 不过 再 想想 这 人 这么 多 ， 竞争 这么 激烈 ， 中国 教育 也 就 这样 了 。 只能 叹息 吧 。,1
民族 穆斯林 强制 中国 这 几天 从 其他 国家 同学 嘴里 听说 ， 土耳其 ， 俄罗斯 还有 其他 几个 国家 的 新闻 都 在 报道 说 中国 强制 带走 1250000 个 维吾尔族 ， 穆斯林 ， 去 强制 再 教育 和 吃 猪肉 ？ 我 说 我们 中国 不 可能 这么 做 ， 我们 从 小学 的 就是 尊重 各个 民族 和 各个 民族 的 文化 。 他们 就 给 我 放 视频 看 ， 视频 里 真的 是 警察 在 带 人 走 。 他们 说 已经 在 这 几个 国家 里 传 的 很 火 了 这件 事 ， 我 刚才 搜 了 一下 ， 没有 相关 的 报道 ， 非常 好奇 是 怎么 一 回事 。 最 不 希望 的 就是 我们 国家 被 误会 以及 摸黑 。,1
关注 的 朋友 提醒 我 想想 女权 是 什么 我 的 结论 挺 悲观 的 根本 就 没有 女权 这 回事 （ 看看 这个 词 现在 被 污蔑 成 什么样 了 你 搞 女性 解放 男女 平权 人家 认为 你 要 造反 啊 ） 只能 跟着 国家 的 步伐 讲 人民 的 基本权利 事实上 人权 平权 这 两个 词 都 很 陌生 的 如今 我们 国家 维稳 和 经济 是 首要 的 不管 上位 者 还是 下位 者 都 没有 把 女人 这 占 近一半 的 人口 当作 什么 弱势群体 政治 几乎 没有 话语权 经济 绝对 弱势 文化 更 不用说 了 哪里 来 的 权 。 。 在 这里 打出 一个 he for she 的 旗号 看看 能 有 啥 用 我 看 还 不如 那首 人渣 该 杀 来得 反应 大 我国 女性 地位 主要 来自 于 建国初期 坚定 的 社会主义 道路 之后 逐渐 的 退化 主要 也 是 顶层 路线 问题 女性 越来越 没有 那么 “ 重要 ” 那么 “ 有用 ” 之前 看到 有 说 对比 国外 我们 当初 女性 解放 来得 太易 了 所以 那么 多人 不 懂得 珍惜 我 觉得 有些 道理 这是 另外 一 回事 了 当 没有 上面 支持 没有 东风 可借 的 时候 怎么办 靠 我们 每个 自己 前 几十年 相对 的 平等 已经 是 巨大 的 遗产 相信 以后 会 有 更 多 优秀 的 女性 在 各 方面 发光 每个 人 一小 束光 黑暗 就 少 一点 希望 就 多一点 人家 要 欺负 你 的 时候 也 要 看 你好 不好惹 欺负 到 你 头上 还要 为 对方 叫好 的 恕 我 不 懂 我们 没有 皇位 要 继承 但 属于 我们 的 我们 要 拿 过来 另外 不 说 用 女权 这词 好不好 这个 翻译 的 词 看起来 很 有 攻击性 在 男权 社会 里 谈 男权 的 对立面 人家 不会 想到 换个 女字 有 什么 好处 只会 觉得 你 想要 “ 另 一个 男权 ” 所以 男女有别 在 什么 地方 啊 朋友 们 理论 上要 消解 落后 价值体系 建立 先进 价值体系 实践 上 自爱 自强 战略 远大 战术 灵活 我们 是 社会主义 接班人,0
网摘 ： 作者 ： 上官云 来源 ： 中国 新闻网 发布 时间 ： 2018 / 11 / 30 10 : 41 : 55 选择 字号 ： 小 中 大 这所 大学 只 存在 8 年 却 值得 每个 国人 牢记 看一遍 哭 一次 ！ 这所 大学 只 存在 8 年 ， 却 值得 每个 国人 牢记 中新网 客户端 北京 11 月 30 日电 ( 记者 上官云 ) 最近 ， 央视 热播 的 一部 纪录片 《 西南联大 》 火 了 。 它 以 5 集 的 篇幅 ， 为 公众 重现 了 这 所 特殊 大学 当日 的 面貌 。 截至 目前 ， 在 豆瓣 上 的 评分 为 9.3 ， 而且 仍然 呈现 上升 趋势 。,0
昨晚 是 忘记 带 brp 滞留 意大利 的 第一晚 与 白俄罗斯 大妈 ， 利比亚 大叔 还有 一个 中国 兄弟 共住 一个 颇 有 陈旧 感 的 青旅 里 晚上 冷静 地 整理 思路 寻找 各种 回英 的 方法 和 室友 通话 的 时候 他们 都 说 我 笑 得 很 灿烂 为什么 呢 是 这种 无法 预料到 的 体验 让 我 感受 到 了 快乐 吗 哈哈 我 真是太 奇怪 了 另外 不得不 说 人 还是 需要 朋友 的 特别 是 在 这种 危难 关头 朋友 的 挺身而出 让 我 觉得 无论 用 多少 个 谢谢 都 表达 不出 我 的 感谢 最后 uk 出境 还是 要 带 brp 不能 因为 怕 丢 而 不带 这点 非常 的 关键,1
以前 天天 黑 安倍 时候 ， 在 各种 党媒 天天 黑 ， 现在 黑 特朗普 ， 跑 到 美国 当地 刊登 广告 黑 。 现在 屁颠 屁颠 搞 合作 了 ， 果然 中日 友好 靠 美国 。,0
美国 消费者 和 企业 都 跟 喜欢 中国 产品 吧 … … 贸易战 让 美国 消费者 及 企业 的 成本 都 提高 了 ， 民怨沸腾 ， 补偿 何用 … … ， 特朗普 等 政客 无非 为 打压 中国 的 发展 ， 想 在 与 中国 的 关系 中多捞 好处 … 这是 由于 美国 民众 及 朝野 主体 、 特朗普 本人 及 内阁 多数 成员 ， 都 根深蒂固 地 认为 中 美 贸易 模式 损害 了 美国 根本利益 。 更 重要 的 是 ， 由于 中国 对美 出口 （ 5000 亿美元 ） 远高于 美国 对 中国 出口 （ 1500 亿美元 ） ， 美国 可征 关税 的 数量 远高于 中国 ， 可 将 其 用于 补偿 遭受 双方 关税 措施 负面影响 的 企业 群体 ， 化解 他们 的 反战 游说 。 …,0
5 日 五角大楼 发布 名为 “ 评估 与 加强 美国 制造业 及 美国 国防工业 基础 与 供应链 弹性 ” 的 报告 。 该 报告 是 特朗普 在 2017 年 听取 著名 的 对华 鹰派 ， 纳 瓦罗 建议 后 要求 撰写 的 ， 长达 146 页 ， 其中 “ 中国 ” 一词 就 提到 了 232 次 ， 而 “ 俄罗斯 ” 一词 仅只 出现 了 1 次 。,0
2018 年 7 月 ， 在 美国 总统 特朗普 宣布 依据 232 调查结果 对 进口 钢铝 产品 征收 额外 关税 后 ， 美国农业部 宣布 设立 一项 120 亿美元 的 基金 ， 用于 援助 遭受 报复性 关税 影响 的 农民 。 本周一 ， 美国农业部 宣布 将 进行 该 基金 的 第二轮 ， 也 就是 最后 一轮 拨款 。 美国农业部 长 Sonny Perdue 在 声明 中称 “ 虽然 美国 的 出口贸易 方面 出现 了 积极 的 变化 ， 但是 由于 其他 国家 对 美国 产品 仍然 存在 不合理 的 贸易 报复 ， 美国 农民 仍 在 遭受 损失 ， 这轮 拨款 将 有助于 （ 美国 农民 ） 在 新 的 一年 时 解决 短期 现金 问题 ” 。 美国农业部 称 ， 120 亿美元 用于 向 美国 农民 购买 多余 的 农作物 以及 “ 开发 美国 农产品 的 海外 市场 ” 。 美国农业部 称 ， 2019 年 的 农业 补贴 不会 超过 2018 年 的 水平 ， 即 120 亿美元 ， 尽管 一些 美国 农业 集团 呼吁 美国政府 提供 更 多 的 援助 。,0
罗 森斯坦 说 ， 过去 7 年来 ， 司法部 90% 以上 的 商业 间谍案 涉及 到 中国 。 他 说 ， 不断 出现 大量 的 这类 案件 是 “ 不可 接受 的 ” 。 罗 森斯坦 在 回答 有关 孟晚 舟 引渡 会 不会 受 特朗普 总统 影响 的 问题 时说 ， 美国司法部 有 责任 对 此案 进行 调查 ， 并 作出 独立 的 决定 。 司法部 的 决定 不会 受 政治 影响 。 纽约 南区 联邦 检察官 伯曼 ( Geoffrey Berman ) 说 ， 过去 12 年来 ， APT10 黑客 的 成员 进入 了 45 美国公司 、 以及 美国宇航局 、 能源部 和 海军 的 电脑系统 ， 曾 窃取 了 10 万多名 美国 海军 军人 的 社会 安全 号码 和 出生日期 等 信息 。 美国联邦调查局 ( FBI ) 局长 克里斯托弗 · 雷 （ Christopher Wray ） 说 ， 除了 中国政府 雇佣 的 黑客 外 ， 中国 还 利用 普通 的 公司 、 个人 等 为 政府 收集 情报 。 在 美国司法部 召开 记者会 的 同时 ， 美国 的 一些 盟国 也 发表声明 ， 对 中国 的 黑客 行为 表示 谴责 。 英国政府 在 一份 声明 中 也 指出 ， 黑客攻击 是 由 一个 名为 APT10 的 组织 实施 的 ， 而 该 组织 替 中国 国家安全部 开展 行动 。 声明 称 ， “ 这一 行动 表明 ， 中国 一些 政府 机构 没有 遵守 中国 在 2015 年 双边协议 中 直接 对 英国 作出 的 承诺 。 ”,1
政审 你 大爷 ， 拼 什么 删帖 ？ 国内 看不到 ， 海外 我 随便 看 。 口口声声 让 民营 企业家 放心 ， 实际 做 的 是 另 一套 。 重庆 这么 多年 一直 在 极左 路线 上 飞奔 ， 为什么 不 把 重庆 领导 抓 起来 ？ 至少 要 撤职 。 该死 的 川普 。,1
美股 下跌 有利于 特朗普 头脑清醒 ， 也 有利于 中 美 贸易谈判 成功 ， 中国 股市 已经 在 坑里 等 美股 半年 了 ！ 另外 近期 特 先生 好像 说话 不太 张狂 了 ！,0
舒马赫 苏醒 了 醒来 一看 手机 : 原来 我们 德国队 四年 前 拿 了 世界杯 冠军 ， 原来 科比 退役 了 ， 原来 美国 总统 是 川普 ， 原来 我 穿梭 到 了 未来 世界,0
2019 年 我 向 总理 说句话 许静 警方 通报 十三行 坠楼 事件 请 总理 关注 一下 广东 十三行 许静 买通 黑社会 杀人 事件 ， 我们 一样 都 是 平民百姓 ， 没有 强大 的 背景 和 后台 撑腰 ， 但 我 为生 在 中国 而 骄傲 ， 因为 我们 都 坚信 自己 的 国家 一定 会 带给 我们 安定 与 快乐 ， 扫黑 除恶 不是 一个 虚幻 的 泡沫 ， 人人 都 有 生存 的 权力 ， 即使 他 再 渺小 … … 此次 事 都 希望 能够 彻查 ， 给 受害者 家属 及 广大群众 一个 真相 ， 也 希望 当 我们 遭遇 任何 不公 时 ， 我们 的 国家 始终 可以 还 我们 一个 公道 ， 而 不是 任由 权势 金钱 而 所 诱惑 颠倒是非 一手遮天 ！ ！ 希望 我们 国家 正义 真的 能够 存在 ， 不要 让 我们 这些 百姓 寒 了 心 ， 感谢,1
路边 社称 ， 川普 最早 将 于 17 日 宣布 ， 对 约 2000 亿美元 中国 商品 加征 关税 。 新 关税 的 税率 可能 约 10% ， 如不达 目的 将会 提高 到 25% 。,1
在 纽约 召开 的 联大 记者会 上 ， 川普 表示 ： 〝 可能 不再 是 我 的 朋友 了 ， 但 我会 尊敬 他 。 〞,1
特朗普 宣布 加征 关税 对 ZF 不满 的 可以 理解 ， 哪个 国家 都 有 ， 支持 贸易战 的 就 不是 很 懂 了 ， 不 知道 支持 的 人 中间 有 几个 已经 在 国外 找到 工作 的 ， 中国 真崩 了 ， 不 知道 他们 中间 有木有 要 失业 的 ， 不 知道 那个 时候 房价 跌不跌 还 和 他们 有 关系 吗 ， 还有 问 美国 为啥 不 公布 中国 官员 财产 的 ， 你 逗 谁 ， 人家 为啥 要 公布 ， 人家 是 要 挣 中国 的 钱 ， 又 不是 要 帮 中国 人民 解决问题,1
我 实在 是 不 明白 为什么 会 不断 地有 疯子 去 选择 伤害 小孩子 ， 到底 怎样才能 保护 好孩子 们 呢 ， 从 三聚氰胺 、 红黄蓝 、 假 疫苗 到 重庆 幼儿园 砍 人 事件 ， 我 真的 真的 希望 自己 是 一名 记者 ， 那样 我 绝不会 饶过 每 一个 伤害 小孩子 的 人 ， 绝不会 饶过 每 一个 因 自己 的 监管 失职 而 让 小孩子 收到 伤害 的 人 。 此刻 倍感 无力 ， 我 只 希望 每 一个 小孩子 都 可以 健康 平安地 长大 ， 有 最 天真烂漫 的 笑 。,1
党国 虽然 让 人 窒息 ， 不过 她 确实 比 民主 政府 多 很多 手段 ， 譬如 毛衣 战下 需要 稳 外资 拉 国际 同盟 ， 必须 开放市场 降低 税率 ， 但 同时 它 可以 有 很多 小动作 抵消 开放 带来 的 冲击 。 譬如 进口 汽车 降低 税率 这项 ， 她 会 全力 补贴 国内 新能源 汽车 ， 并且 打着 环保 的 旗号 让 很多 城市 普通车 无法 上 牌 上路 等等 。,1
古巴 修宪 ！ 卡 内尔 ： 向 中国 取经 - 观察者 网 O 古巴 通过 修宪 草案 领导人 卡 内尔 ： 向 中国 越南 等 取经,1
往事 杂忆 我 小时候 ， 对 非洲 独立 视为 绝对 正义事业 和 不可 阻挡 的 历史潮流 予以 肯定 ， 后来 了解 的 事情 多 了 ， 观点 也 就 渐渐 改变 了 。 战后 非洲 独立 运动 领袖 ， 尽管 他们 曾经 在 西方 国家 接受 现代 民主 教育 ， 并 以此 为 独立 理论 和 指导思想 ， 但 一旦 当政 ， 都 奉行 极左 ， 大 搞 独裁 、 个人 生活 则 奢靡 腐化 ， 最后 把 好端端 的 国家 搞 得 乱七八糟 ， 自己 也 难逃 被 推翻 的 命运 ， 好 点儿 的 流亡 他 乡 ， 差点儿 的 直接 丢 了 小命 。 远 的 ， 领导 非洲 战后 第一个 获得 独立 的 国家 加纳 总统 恩克鲁玛 ， 近 一点儿 的 津巴布韦 的 穆加贝 ， 都 这 德行 。,1
